OPACITY
3
70 19 3
logT logR logkappa
    3.750000    -8.000000  -7.670000e-01
    3.750000    -7.500000  -9.280000e-01
    3.750000    -7.000000  -1.119000e+00
    3.750000    -6.500000  -1.327000e+00
    3.750000    -6.000000  -1.542000e+00
    3.750000    -5.500000  -1.754000e+00
    3.750000    -5.000000  -1.955000e+00
    3.750000    -4.500000  -2.126000e+00
    3.750000    -4.000000  -2.236000e+00
    3.750000    -3.500000  -2.251000e+00
    3.750000    -3.000000  -2.166000e+00
    3.750000    -2.500000  -2.007000e+00
    3.750000    -2.000000  -1.799000e+00
    3.750000    -1.500000  -1.573000e+00
    3.750000    -1.000000  -1.304000e+00
    3.750000    -0.500000  -9.910000e-01
    3.750000     0.000000  -6.450000e-01
    3.750000     0.500000  -2.610000e-01
    3.750000     1.000000   1.310000e-01
    3.800000    -8.000000  -5.610000e-01
    3.800000    -7.500000  -5.980000e-01
    3.800000    -7.000000  -6.750000e-01
    3.800000    -6.500000  -7.940000e-01
    3.800000    -6.000000  -9.440000e-01
    3.800000    -5.500000  -1.109000e+00
    3.800000    -5.000000  -1.273000e+00
    3.800000    -4.500000  -1.408000e+00
    3.800000    -4.000000  -1.493000e+00
    3.800000    -3.500000  -1.500000e+00
    3.800000    -3.000000  -1.425000e+00
    3.800000    -2.500000  -1.293000e+00
    3.800000    -2.000000  -1.107000e+00
    3.800000    -1.500000  -9.160000e-01
    3.800000    -1.000000  -6.880000e-01
    3.800000    -0.500000  -4.420000e-01
    3.800000     0.000000  -1.800000e-01
    3.800000     0.500000   1.210000e-01
    3.800000     1.000000   4.290000e-01
    3.850000    -8.000000  -5.340000e-01
    3.850000    -7.500000  -5.300000e-01
    3.850000    -7.000000  -5.250000e-01
    3.850000    -6.500000  -5.250000e-01
    3.850000    -6.000000  -5.430000e-01
    3.850000    -5.500000  -5.880000e-01
    3.850000    -5.000000  -6.490000e-01
    3.850000    -4.500000  -7.060000e-01
    3.850000    -4.000000  -7.390000e-01
    3.850000    -3.500000  -7.250000e-01
    3.850000    -3.000000  -6.630000e-01
    3.850000    -2.500000  -5.520000e-01
    3.850000    -2.000000  -4.060000e-01
    3.850000    -1.500000  -2.470000e-01
    3.850000    -1.000000  -5.100000e-02
    3.850000    -0.500000   1.610000e-01
    3.850000     0.000000   3.840000e-01
    3.850000     0.500000   6.280000e-01
    3.850000     1.000000   8.940000e-01
