Constant_entropy_contour
2
530 2
logQ logT sdf(entropy=9.252751889803044)
-1.9050947452441238e+00 8.1999999999999993e+00
-1.9098694558235363e+00 8.1799999999999997e+00
-1.9143843464716848e+00 8.1600000000000001e+00
-1.9186316769825238e+00 8.1400000000000006e+00
-1.9226041804663379e+00 8.1199999999999992e+00
-1.9262950974701039e+00 8.0999999999999996e+00
-1.9296982061959296e+00 8.0800000000000001e+00
-1.9299999999999999e+00 8.0780270050875362e+00
-1.9327535928168693e+00 8.0600000000000005e+00
-1.9355137178255131e+00 8.0399999999999991e+00
-1.9379796716498121e+00 8.0199999999999996e+00
-1.9401471189612718e+00 8.0000000000000000e+00
-1.9420123229135733e+00 7.9800000000000004e+00
-1.9435721544534252e+00 7.9600000000000000e+00
-1.9448240973775583e+00 7.9400000000000004e+00
-1.9457662492299805e+00 7.9200000000000097e+00
-1.9463973181763388e+00 7.9000000000000101e+00
-1.9467166160334721e+00 7.8800000000000097e+00
-1.9467240476696028e+00 7.8600000000000110e+00
-1.9464200970214609e+00 7.8400000000000096e+00
-1.9458058100023401e+00 7.8200000000000101e+00
-1.9448827745945862e+00 7.8000000000000096e+00
-1.9436530984383664e+00 7.7800000000000100e+00
-1.9421193842374744e+00 7.7600000000000096e+00
-1.9402847033100432e+00 7.7400000000000100e+00
-1.9381525676123836e+00 7.7200000000000104e+00
-1.9357269005604840e+00 7.7000000000000099e+00
-1.9330120069682328e+00 7.6800000000000104e+00
-1.9300125424069741e+00 7.6600000000000099e+00
-1.9299999999999999e+00 7.6599226627724430e+00
-1.9267076709389070e+00 7.6400000000000095e+00
-1.9231293330875476e+00 7.6200000000000099e+00
-1.9192834489506947e+00 7.6000000000000103e+00
-1.9151760333672689e+00 7.5800000000000098e+00
-1.9108132717476689e+00 7.5600000000000103e+00
-1.9062014918977115e+00 7.5400000000000098e+00
-1.9013471369284227e+00 7.5200000000000102e+00
-1.8999999999999999e+00 7.5146740389154028e+00
-1.8962405582518973e+00 7.5000000000000098e+00
-1.8909009806753210e+00 7.4800000000000093e+00
-1.8853414563490274e+00 7.4600000000000204e+00
-1.8795687096569378e+00 7.4400000000000199e+00
-1.8735894394826573e+00 7.4200000000000204e+00
-1.8699999999999999e+00 7.4083480850534951e+00
-1.8674047699714782e+00 7.4000000000000199e+00
-1.8610213305375216e+00 7.3800000000000203e+00
-1.8544543402111409e+00 7.3600000000000199e+00
-1.8477101613131506e+00 7.3400000000000203e+00
-1.8407950209040613e+00 7.3200000000000198e+00
-1.8400000000000001e+00 7.3177426507871761e+00
-1.8337125703218164e+00 7.3000000000000203e+00
-1.8264738582582487e+00 7.2800000000000198e+00
-1.8190850575363471e+00 7.2600000000000202e+00
-1.8115516768836630e+00 7.2400000000000198e+00
-1.8100000000000001e+00 7.2359392918242955e+00
-1.8038839770786166e+00 7.2200000000000202e+00
-1.7960861247145139e+00 7.2000000000000197e+00
-1.7881621091373761e+00 7.1800000000000201e+00
-1.7801167379126079e+00 7.1600000000000197e+00
-1.7800000000000000e+00 7.1597127401344407e+00
-1.7719688868142669e+00 7.1400000000000210e+00
-1.7637117087582812e+00 7.1200000000000196e+00
-1.7553493597421839e+00 7.1000000000000201e+00
-1.7500000000000000e+00 7.0873408855677029e+00
-1.7468935803022594e+00 7.0800000000000196e+00
-1.7383554919416304e+00 7.0600000000000200e+00
-1.7297267070492217e+00 7.0400000000000196e+00
-1.7210109449874780e+00 7.0200000000000200e+00
-1.7200000000000000e+00 7.0176953052912969e+00
-1.7122355481105260e+00 7.0000000000000204e+00
